Kidnap,绑架,take away to an undisclosed location against their will and usually in order to extract a ransom,
Labour,劳动,a social class comprising those who do manual labor or work for wages,
Legalisation,合法化,the act of making lawful,
Majority,多数,the property resulting from being or relating to the greater in number of two parts,
Manifesto,宣言,a public declaration of intentions ,
Military,军队,the military forces of a nation,
Modernization,现代化,making modern in appearance or behavior,
Objectors,反对者,a person who dissents from some established policy,
Opposition,反对,the relation between opposed entities,
Overseas,海外的,in a place across an ocean,
Patriotic,爱国的,inspired by love for your country,
Patriate,把修改的权力从英国政府手中移交给加拿大联邦政府,,
Plebiscite,公民投票,a vote by the electorate determining public opinion on a question of national importance,
Premier,总理,be performed for the first time,
Prisoner,囚犯,a person who is confined,
Promote,促进,contribute to the progress or growth of,
Recommendation,推荐,something that is recommended as advisable,
Referendum,全民公决，全民投票,a legislative act is referred for final approval to a popular vote by the electorate,
Reform,改革,a change for the better as a result of correcting abuses,
Regionalism,行政区的划分,a feature that is characteristic of a particular region,
Release,释放,merchandise issued for sale or public showing ,
Require,需要,require as useful,
Resources,资源,available source of wealth,
Responses,响应回应,a result,
Sacrifice,牺牲,personnel that are sacrificed ,
Separatism,分离主义,a disposition toward schism and secession from a larger group,
Significance,重要性,the quality of being significant,
Sovereignty,主权,government free from external control,
Status,状态,the relative position or standing of things or especially persons in a society,
Tension,紧张,a state of mental or emotional strain or suspense,
Tradition,传说,an inherited pattern of thought or action,
Formula,客套语,a group of symbols that make a mathematical statement,
Francophone,操法语者,,
Ignore,不理睬,refuse to acknowledge,
Immersion,沉浸,a form of baptism in which part or all of a person's body is submerged,
Issue,发行,an important question that is in dispute and must be settled,
